f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293,f294,f295,f296,f297,f298,f299,f300,f301,f302,f303,f304,f305,f306,f307,f308,f309,Age,Sex,Class
0.02,0.02,0,0,0,0.57,0,14.71,445.08,-0.88,-0.34,0.03,0.36,0.02,2.16,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.07,14.07,0.09,0,0.05,0.08,0,0.05,0.1,0,0.05,0.04,1.21,0.03,0.07,0.09,-0.11,-0.06,0,0.06,0.37,19.09,1.9,0.01,0.01,0.83,3.29,0.8,0.49,0.64,0,1.03,0.21,0.11,1102658.27,1.6,3.01,0,0,1.35,37.07,34.61,3950.13,1.23,5.9,1.46,1.28,0.32,1.73,0.13,10.6,0.14,6.03,4.02,9.04,0.53,-0.31,-1.05,-2.33,0.08,1.26,-0.88,0.07,1.86,-0.17,-1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78,0.69,2.16,88201,100,0,0,0,0,0,0,0,0,0,0,0.48,-23.34,-2,-99.53,-42.76,-25.59,-244.5,-581.95,-4293.43,-2361.73,-10552.56,-3531.08,-991.56,-292.59,-84.04,-9.92,9.83,5.58,24.92,12.73,0,0.06,0.03,0.61,0.74,1.31,5.04,11.94,63.11,56.39,0.03,0.85,0.28,2.32,1.95,2.13,13.19,21.33,86.44,110.77,-308509793.7,-334060067.7,-365307626.2,-408557038.2,-477044132.1,-598411108.8,-816996924,-1251283381,-2135399490,-3955304219,10372.39,5617.48,3073.32,1720.5,1006.31,632.93,433.48,333.06,284.93,264.34,57.65,227.55,878.07,3330.73,12047.62,40342.74,123733.68,337791.88,826762.15,1861376.9,1306.59,3645.28,10128.44,27685.62,74326.21,191310.75,469017.12,1088889.34,2397367.74,5066462.77,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.02,0.02,0.05,0.07,0.24,0.11,-15142.19,-5942.76,-2240.34,-993.66,-449,-202.01,-153.38,-120.25,-51.87,-73.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,-178073.25,-213399.95,-253274.56,-303200.86,-375145.02,-494943.93,-706367.48,-1125023.91,-1986755.48,-3791706.32,3858.69,2312.25,1372.32,821.61,508.48,335.63,239.66,190.98,168.73,161.06,0.09,0.36,1.39,5.28,19.07,63.86,195.85,534.25,1306.32,2939.62,2.05,5.74,15.99,43.87,117.6,302.85,744.71,1727.67,3798.99,8025.95,67,0,1
0.05,0.03,0,0,0,1.13,0,34.6,1014.93,-4.33,-1.55,-0.02,1.6,0.04,4.61,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.03,4.93,0.03,0,0.04,0.04,0,0.04,0.04,0,0.04,0.02,0.42,0.01,0.02,0.05,-0.04,-0.02,0,0.02,0.32,19.73,1.54,0.01,0,1,2.01,0,0.42,0.55,0,1.39,0.19,0.16,2256058.39,1.64,2.96,0,0,7.16,4.78,4.73,63.89,1.07,5.98,1.18,0.3,0.08,0.7,0.07,12.24,0.1,8.73,11.4,8.27,-2.66,-0.78,-0.75,-3.08,-1.18,2.23,0.29,-0.71,0.28,0.51,-0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.13,1.45,4.61,88201,100,0,0,0,0,0,0,0,0,0,0,0.73,-14.13,-3.9,-534.96,-525.32,-729.39,-2528.32,-3120.03,-3784.12,-21139.18,-9900.52,-2831.37,-696.39,-192.62,-8.16,15.56,9.19,37.1,22.75,30.69,0,0.06,0.07,2.25,4.33,13.86,29.15,58.68,45.65,164.66,0.02,0.71,0.64,8.57,14.3,27.44,58.49,137.09,105.01,711.44,-712846501.5,-768354984,-836638685.6,-931743949.8,-1083052295,-1351854015,-1833653982,-2789602254,-4732400281,-8723120673,11143.46,6008.65,3274.54,1826.74,1065.05,667.92,456.18,349.62,298.41,276.28,129.01,505.92,1948.27,7384.39,26658.05,89076.65,272729.87,743292.91,1814946.72,4078482.13,2878.82,8113.41,22511.55,61367.62,164190.27,422526.89,1047094.78,2421412.26,5324011.86,11208868.32,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.06,0.1,0.12,0.11,0.31,-15404.73,-5545.41,-2107.09,-949.97,-433.24,-261.73,-135.06,-108.08,-60.03,-52.07,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,-215899.77,-257194.4,-303898.21,-362530.59,-447240.63,-588544.98,-837805.69,-1331244.81,-2346221.85,-4470371.3,4013.13,2390.6,1412.63,842.9,520.25,342.64,244.21,194.31,171.43,163.46,0.11,0.42,1.64,6.19,22.36,74.84,229.44,625.67,1529.08,3439.56,2.4,6.74,18.76,51.44,137.78,354.83,874.38,2027.17,4456.03,9407.75,67,0,0
0.09,0.04,0,0,0,1.33,0,38.16,1086.42,-5.08,-1.86,-0.1,1.83,0.19,5.73,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.1,12.88,0.09,0,0.09,0.1,0,0.09,0.11,0,0.09,0.09,1.16,0.03,0.13,0.16,-0.26,-0.11,0.01,0.12,0.32,17.01,2.46,0.02,0.01,1,13.46,0,0.37,0.58,0.02,1.75,0.34,0.12,1537071.78,1.64,3.04,0,0,8.37,88.24,57.72,4593.6,1.27,5.77,1.43,0.74,0.2,1.28,0.14,17.94,0.15,6.98,6.84,7.55,0.98,-0.87,-1.85,-1.98,-0.65,1.48,-1.13,-0.64,1.09,0.4,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.92,2.09,5.73,88201,99.96,0,0,0,0,0,0,0,0,0.01,0.02,-227.36,-9646.58,-3699.51,-11014.09,-17843.76,-34233.57,-56584.65,-32088.14,-363624.17,-674100.97,-9141.64,-2624.77,-518.52,-196.02,12.56,26.45,50.22,35.45,38.4,36.99,0.17,7.79,4.53,23.38,57.56,165.96,472.13,534.3,3048.28,4948.86,2.88,102.16,39.57,104.6,261.16,567.59,1312.32,1138.84,9208.8,17284.7,-847942070.5,-913697028.7,-995253544.4,-1109996090,-1294300514,-1624158754,-2228203021,-3430701800,-5879778736,-10919188079,11303.63,6090.14,3316.7,1849.24,1077.75,675.72,461.58,353.82,302.02,279.6,128.34,516.34,2062.92,7775.33,28100.19,94406.92,290918.35,798171.18,1964539.98,4451060.66,3158.07,8438.32,23682.98,65959.1,176467.97,456092.09,1089074.23,2538422.33,5607942.44,11906408.72,100,0,0,0,0,0,0,0,0,0,0,0.02,0.19,0.11,0.24,0.28,0.42,0.68,0.36,0.24,-0.76,-14583.36,-5350.33,-1855.18,-911.8,-388.78,-172.98,-122.2,-88.03,-55.59,-46.81,0,0,0,0,0,0.01,0.02,0.02,0.1,0.17,0,0,0,0,0.01,0.02,0.04,0.04,0.31,0.6,-224272.67,-266892.02,-315149.43,-375840.13,-463706.4,-610551.57,-870757.33,-1386352.77,-2447550.86,-4669282.5,4043.77,2406.19,1420.69,847.2,522.67,344.13,245.24,195.11,172.12,164.09,0.11,0.42,1.64,6.22,22.46,75.27,231.1,631.03,1544.93,3481.63,2.42,6.73,18.77,51.75,138.7,357.57,874.02,2027.76,4464.21,9443.12,67,0,0
0.04,0.02,0,0,0,0.86,0,47.99,1388.06,-3.76,-1.58,-0.04,1.54,0.02,3.72,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.04,6.13,0.04,0,0.02,0.05,0,0.02,0.05,0,0.02,0.03,0.53,0.01,0.04,0.05,-0.06,-0.03,0,0.03,0.13,20.32,1.17,0.01,0,1,1.22,0,0.32,0.55,0,1.11,0.12,0.2,1489929.79,1.65,3,0,0,10.23,24.71,21.15,2446.1,1.21,5.44,1.5,0.3,0.1,0.78,0.1,15.11,0.12,7.33,8.42,7.03,-1.5,-0.22,-2.08,-1.39,-0.82,0.09,1.26,0.54,-1.35,0.01,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.56,1.1,3.72,88201,100,0,0,0,0,0,0,0,0,0,0,1.12,-14.69,-14.33,-27.99,-132.97,-659.9,-1515.26,-5445.56,-13500.15,-8597.15,-9520.67,-2741.79,-667.48,-219.92,-68.09,5.48,15.32,1.02,14.83,4.71,0.01,0.06,0.11,0.45,1.77,9.51,16.82,83.55,277.34,158.4,0.41,0.56,0.92,2.26,7.84,28.36,33.72,178.28,709.38,296.48,-972036730.9,-1046939279,-1140068084,-1271425926,-1482786770,-1861204896,-2544467706,-3904210480,-6667968662,-12347876740,11430.27,6154.55,3349.98,1866.95,1087.65,681.71,465.42,356.59,304.25,281.54,173.89,683.86,2658.35,10053.02,36262.11,121279.03,371436.19,1011640.33,2469437.06,5548976.16,3886.51,10892.38,30387.43,83440.24,223321.87,574136.67,1420821.65,3300050.92,7222013.3,15258806.21,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.03,0.06,0.1,0.2,0.13,-15095.37,-5458.05,-2031.71,-1019.52,-483.51,-218.26,-123.33,-126.4,-113.03,-59.32,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0.01,-231016.38,-274699.36,-324198.88,-386514.19,-476825.78,-627856.45,-894797.5,-1423715.15,-2511757.96,-4788806.85,4067.69,2418.35,1426.98,850.55,524.55,345.26,245.97,195.64,172.54,164.47,0.11,0.45,1.74,6.57,23.71,79.37,243.36,663.55,1621.61,3647.75,2.54,7.13,19.87,54.56,146.14,376.29,926.96,2150.68,4723.73,9978.94,52,1,1
0.05,0.02,0,0,0,1.11,0,77.5,2351.08,-5.26,-1.87,0.15,2,0.05,3.82,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.02,2.07,0.01,0,0.01,0.02,0,0.01,0.02,0,0.01,0.07,0.18,0,0.02,0.05,-0.04,-0.02,0,0.02,0.21,26.15,2.55,0,0,1,1.24,0,0.3,0.51,0,1.66,0.2,0.13,1327321.82,1.62,3.13,0.02,0.01,45.12,56.48,33.05,2265.12,1.33,5.71,1.53,0.29,0.15,0.81,0.1,17.04,0.12,8.57,11.26,4.34,-3.55,-1.15,-3.23,-1.86,-1.04,0.36,0.17,1.12,-0.77,0.36,0.37,0,-0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,1.51,3.82,88201,100,0,0,0,0,0,0,0,0,0,0,0.76,-113.01,-1846.28,-20322.04,-3531.78,-650.95,-2723.22,-12743.66,-14053.78,-16953.27,-8006.45,-2536.79,-733.14,-211.3,-51.55,23.56,31.97,50.11,24.2,33.02,0,0.12,2.51,45.25,17.46,9.74,32.88,181.51,221.84,415.3,0.05,1.46,20.83,215.23,68.17,22.73,88.32,228.01,522.42,678.02,-1970129970,-2113816346,-2292268413,-2543336751,-2946781397,-3667821856,-4966405110,-7546845799,-12789526622,-23553644982,12085.53,6486.7,3520.59,1956.78,1137.1,710.98,484.29,370.26,315.33,291.33,324.32,1283.58,4829.18,18282.16,66267.17,221759.47,679601.57,1854976.23,4536608.07,10209202.32,7270.37,20412.12,57177.55,151931.11,408476.22,1052054.6,2584384.69,6000459.62,13200410.92,27904300.32,100,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.05,0.02,0.05,0.15,0.12,0.15,-13500.04,-5520.34,-2247.87,-957.25,-504.31,-213.3,-160.46,-74.17,-63.3,-46.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,-267718.58,-316965.41,-372809.81,-443167.27,-545205.93,-715886.78,-1017423.37,-1614612.7,-2842595.98,-5411145.34,4187.04,2478.86,1458.06,866.91,533.56,350.6,249.41,198.13,174.56,166.25,0.13,0.5,1.93,7.32,26.46,88.59,271.65,741,1811.49,4075.99,2.85,7.99,22.24,60.83,163.12,420.14,1033.63,2398.08,5271.96,11138.17,52,1,0
0.05,0.02,0,0,0,2.27,0,56.85,1718.24,-2.9,-1.17,0.1,1.21,0.05,7.94,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.02,3.08,0.02,0,0.02,0.03,0,0.02,0.03,0,0.02,0.13,0.32,0,0.02,0.04,-0.04,-0.02,0,0.02,0.5,22.95,3.17,0.01,0.01,1,1.66,0,0.55,0.51,0,1.27,0.26,0.15,1344848.55,1.63,3.04,0.01,0,17.19,7.74,5.55,179.64,1.2,5.28,1.4,0.88,0.27,1.23,0.11,12.87,0.13,6.99,9.37,4.04,-2.77,-0.76,-3.11,-1.14,-0.69,0.08,0.44,2.08,-1.2,-0.45,0.6,0.01,0,0.01,0,-0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.18,2.69,7.94,88201,100,0,0,0,0,0,0,0,0,0,0,0.53,-29.44,-960.72,-12837.62,-2263.45,-1090.47,-6291.77,-5075.61,-23927.67,-36150.51,-9922.5,-2908.17,-810.51,-227.88,-26.89,24.85,47.21,37.68,34.94,50.28,0,0.04,1.44,30.21,11.39,8.22,41.39,88.3,349.98,867.02,0.02,0.55,11.56,142.87,45.2,18.46,104.77,291.21,729.25,1689.06,-1436299997,-1542636019,-1673836521,-1857046712,-2149454763,-2669635537,-3606048559,-5464849926,-9241997156,-16995542338,11791.84,6337.51,3443.64,1915.96,1114.34,697.24,475.24,363.55,309.79,286.38,234.45,926.9,3490.53,13216.16,47906.11,160309.23,491441.14,1342114.74,3285524.72,7397259.02,5247.87,14752.33,41236.53,109778.1,295134.47,759944.03,1864157.9,4326148.5,9532689.1,20094599.77,100,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.14,0.06,0.04,0.13,0.09,0.24,0.36,-15587.81,-5672.54,-2251.55,-963.92,-499.71,-173.22,-139.85,-94.25,-61.73,-48.64,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0.03,-250895.59,-297566.61,-350422.54,-416894.71,-513108.14,-673793.34,-957536.76,-1519298.81,-2674515.27,-5091070.9,4134.42,2452.12,1444.27,859.59,529.48,348.13,247.79,196.92,173.57,165.36,0.12,0.47,1.82,6.91,24.96,83.56,256.25,699.05,1709.21,3846.28,2.69,7.54,20.98,57.38,153.86,396.27,974.65,2261.05,4972.07,10498.82,52,1,0
0.06,0.03,0,0,0,1,0,29.15,840.13,-4.12,-1.55,-0.01,1.58,0.05,3.69,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.07,13.07,0.09,0,0.08,0.09,0,0.08,0.11,0,0.08,0.06,1.13,0.03,0.08,0.1,-0.15,-0.06,0,0.06,0.38,16.53,1.55,0.02,0.01,1,38.84,0.22,0.38,0.63,0,1.18,0.24,0.13,1100918.18,1.6,3.05,0.01,0.02,17.27,76.77,71.45,2939.22,1.36,6.13,1.54,5.21,1.2,4.41,0.16,8.41,0.17,5.38,2.3,7.98,0.87,0.33,-1.42,-1.27,-0.53,-0.72,0,1.27,0.2,-1.07,-0.72,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.56,1.22,3.69,88201,100,0,0,0,0,0,0,0,0,0,0,-5.96,-305.92,-88.87,-281.6,-865.38,-1531.61,-6103.34,-10773.35,-22264.98,-39243,-8901.37,-2670.13,-680.19,-174.64,-55.02,-4.87,13.75,21.02,4.38,20.23,0.01,0.44,0.24,1.4,4.53,14.51,84.56,88.99,304.26,435.61,0.24,5.81,2.39,6.75,19.44,27.81,197.14,272.7,811.63,1344.19,-625825113.9,-675347891.5,-736541862.6,-822269520.5,-959454758.1,-1204227687,-1648056283,-2531230414,-4329049057,-8027382371,11023.31,5947.94,3243.55,1810.61,1056.37,662.95,453.18,347.61,296.9,275.02,107.59,427.03,1660.09,6293.1,22758.48,76202.4,233746.72,638708.57,1565264.59,3530404.37,2461.42,6834.45,19045.78,52377.7,140659.85,362220.99,880841.12,2046947.6,4509397.05,9542656.34,100,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.03,0.05,0.08,0.22,0.25,0.29,0.4,-13927.23,-5232.59,-2031.67,-933.39,-474.48,-219.91,-119.51,-81.46,-120.47,-62.3,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0.01,0.01,0.03,0.05,-209736.24,-250097.13,-295766.25,-353145.95,-436135.81,-574713.44,-819750.55,-1305232.37,-2304346.83,-4396132.25,3989.83,2378.83,1406.62,839.77,518.57,341.68,243.63,193.92,171.14,163.22,0.1,0.41,1.59,6,21.68,72.58,222.62,607.38,1485.48,3344.01,2.33,6.52,18.15,49.87,133.67,344.23,845.19,1961.35,4313.36,9115.23,63,0,1
0.09,0.03,0,0,0,1.76,0,88.43,2657.76,-6.33,-2.26,0.07,2.23,0.04,8.27,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,5.67,0.04,0,0.05,0.05,0,0.05,0.06,0,0.05,0.08,0.49,0.01,0.06,0.09,-0.13,-0.04,0,0.05,0.26,25.91,3.02,0,0,0.36,13.46,7.27,0.26,0.52,0,2.79,0.53,0.38,1882508.29,1.93,3.28,0.01,0,30.94,39.18,37.13,788.05,1.34,6.39,1.49,0.04,0,0.23,0.05,27.6,0.07,8.4,8.38,6.17,-1.55,-0.53,-1.86,-3.37,-1.24,-0.8,-0.61,1.08,-0.7,-1.22,-1.15,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.21,2.38,8.27,88201,100,0,0,0,0,0,0,0,0,0,0,0.74,-40.79,-14.71,-5931.16,-587.52,-3983.62,-11318.66,-12764.49,-28033.42,-19247.6,-9518.61,-2853.18,-748.46,-211.69,9.41,41.17,50.12,34.94,30.83,29.33,0,0.07,0.09,14.97,9.24,54.3,263.59,157.98,208.92,341.73,0.04,0.88,0.69,68.64,27.65,81.7,359.31,402.16,533.4,771.71,-1920809040,-2063319548,-2242362335,-2497823450,-2912795778,-3660497208,-5018440060,-7723955170,-13225316098,-24521812722,12061.88,6475.22,3515.19,1954.43,1136.26,710.89,484.59,370.74,315.9,291.94,318.37,1262.43,4999.86,18806.24,67668.05,226267.84,693919.01,1892359.65,4624973.63,10403205.72,7123.58,20009.32,56477.27,156125.07,416631.56,1073599.59,2638243.24,6126575.3,13457708.43,28426405.41,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.02,0.07,0.14,0.12,0.21,0.13,-15327.45,-5650.89,-2181.46,-1057.97,-449.04,-229.85,-131.18,-86.63,-70.88,-72.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,-266341.76,-315448.17,-371215.1,-441634.3,-544013.18,-715639.39,-1019461.7,-1621706.62,-2860517.9,-5451975.25,4182.86,2476.82,1457.1,866.49,533.41,350.58,249.46,198.21,174.67,166.36,0.13,0.5,1.95,7.36,26.56,88.9,272.67,743.66,1817.8,4089.85,2.84,7.97,22.22,61.14,163.67,421.57,1037.42,2407.07,5290.3,11175.49,63,0,0
0.16,0.08,0,0,0,2.54,0,57.13,1428.19,-25.71,-9.41,0.12,9.41,0.04,11.09,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.06,9.21,0.06,0,0.08,0.07,0,0.08,0.09,0,0.08,0.08,0.82,0.01,0.08,0.1,-0.14,-0.06,0,0.07,0.5,12.56,2.5,0.06,0.04,1,17.42,0,0.56,0.66,0,1.12,0.21,0.14,1439888.97,1.64,2.98,0,0,4.31,3.34,3.19,42.1,1.25,5.47,1.41,0.88,0.05,1.09,0.09,14.43,0.12,6.14,7.04,6.18,-0.37,-1.24,-1.11,0.45,0.05,-0.67,-1.74,0.65,-0.86,-1.69,-0.7,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.88,3.17,11.09,88200,100,0,0,0,0,0,0,0,0,0,0,0.31,4.5,-52.84,-298.27,-516.55,-5810.85,-28298.86,-49730.16,-4748.57,-26666.3,-7478.28,-1821.98,-191.13,-49.16,-0.36,37.49,38.49,44.7,23.72,16.09,0,0.01,0.43,1.98,4.17,59.58,276.02,271.01,106.39,287.85,0,0.06,0.98,3.99,10.58,113.47,491.74,612.22,140.98,912.27,-1041143514,-1120687430,-1219343097,-1358119056,-1580847118,-1978856000,-2697968437,-4129482348,-7040419867,-13024859462,11493.43,6186.46,3366.28,1875.43,1092.23,684.34,467.07,357.75,305.17,282.35,177.78,699.47,2725.74,10322.59,37263.47,124457.09,380797.45,1038944.71,2540480.54,5720181.58,3981.7,11183.96,31060.77,85496.7,229377.34,590848.76,1439837.59,3351461.48,7362611.54,15589976.63,100,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.14,0.39,0.6,0.09,0.22,-12761.22,-4510.25,-1617.43,-659.37,-328.52,-202.95,-131.49,-84.09,-73.09,-65.58,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0.02,-234425.22,-278617.85,-328682.9,-391687.45,-482956.04,-635520.81,-905175.63,-1439456.15,-2538540.32,-4838759.3,4079.5,2424.32,1430.03,852.13,525.41,345.76,246.28,195.85,172.72,164.62,0.11,0.45,1.74,6.6,23.82,79.72,244.45,666.9,1630.32,3668.72,2.55,7.16,19.94,54.8,146.79,378.01,929.03,2157.12,4740.92,10019.91,63,0,0
0.09,0.05,0,0,0,1.31,0,32.81,925.12,-6.73,-2.37,0.12,2.41,0.03,5.4,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.07,9.29,0.06,0,0.07,0.08,0,0.07,0.09,0,0.07,0.08,0.84,0.02,0.1,0.13,-0.19,-0.07,0.01,0.08,0.36,15.35,1.78,0.03,0.01,0.58,38.99,11.06,0.55,0.67,0,0.84,0.09,0.2,1319165.9,1.72,2.99,0,0,5.67,20.5,20.05,1590.78,1.2,5.61,1.39,1.62,0.36,1.92,0.13,10.19,0.15,6.75,6.47,7.34,0.83,0.37,-1.08,-1.31,-1.62,0.22,1.24,0.95,-0.91,0.45,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.58,1.64,5.4,88201,100,0,0,0,0,0,0,0,0,0,0,0.58,-80.74,-90.73,-741.27,-1043.91,-4305.42,-4031.51,-6553.33,-11656.74,-26055.52,-8562.79,-2605.45,-549.88,-104.26,63.91,45.61,19.67,25.39,12.89,14.33,0,0.19,0.34,3.63,7.79,34.73,46.89,130.5,177.57,375.1,0.02,2.39,2.13,11.18,13.79,45.9,78.93,229.91,333.9,689.18,-595876295.2,-643430215.8,-702379992.2,-785260922.9,-918259884,-1156055470,-1585899767,-2441260561,-4180984685,-7757654692,10977.97,5925.11,3231.98,1804.66,1053.22,661.21,452.11,346.87,296.32,274.51,111.64,437.78,1720.16,6480.14,23292.76,77791.34,238127.47,648552.23,1582194.88,3554318.23,2476.91,6983.82,19488.21,53745.49,143438.66,368340.39,912449.54,2112916.26,4629214.92,9759054.84,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.06,0.1,0.19,0.16,0.21,0.27,0.35,-13612.33,-5223.87,-1928.69,-880.74,-293.54,-189.34,-92.17,-97.06,-68.96,-57.19,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0.01,0.02,-207437.25,-247458.6,-292762.7,-349719.57,-432152.57,-569883.73,-813322.77,-1295680.71,-2288244.65,-4366121.21,3980.97,2374.36,1404.36,838.61,517.95,341.33,243.42,193.77,171.03,163.12,0.1,0.41,1.6,6.04,21.78,72.9,223.51,609.42,1489.17,3349.68,2.33,6.55,18.24,50.14,134.23,345.59,851.65,1974.96,4338.39,9161.4,69,0,1
